Sentence,Category (Binary),Comment (Optional)
"In the Insurance Medical Services (IMS) fraud case, Anti Corruption Bureau (ACB) officers have written to the government seeking permission to file a petition in court seeking to attach properties of prime accused in Disproportionate Assets (DA) and misappropriation of government money cases.",1-Septic,
"So far, the government has granted permission against three accused for Rs 173 crore worth properties.",0-Pure,
"However, ACB is yet to get permission from the government to attach properties of former IMS director Devika Rani.",0-Pure,
"In response to letters of ACB director-general pertaining to the IMS fraud accused since August first week, the government has granted permission to ACB to file an application in the ACB court for attachment of Rs 173 crore worth properties belonging to three of the accused in the IMS scam.",1-Septic,
"Citing letters from ACB director-general between 2019 and 2020 to the government in relation to the assets amassed by IMS scam accused, labour employment training & factories department has issued three separate orders permitting the agency to file an application in ACB special court for attachment of Rs 162.12 crore properties belonging to Srihari Babu, proprietor of Omni Medi company, his family members, including wife Sujatha and two daughters, co-accused Krupasagar Reddy and the firms represented by them, Rs 8.55 crore worth properties belonging to Dr K Padma, joint director, IMS, her family members and suspected benamis, Rs 2.7 crore worth properties belonging to K Nagalakshmi, pharmacist, ESI Hospital, and her family members.",1-Septic,
"Nagpur University has planned to start final year examinations with BA course from October 1, while engineering and other faculties papers would commence from October 5.",0-Pure,
"The decision was taken in view of large number of subjects in arts faculty which would continue till October 18, the last day of exams.",0-Pure,
The timetable would be posted on the university website in a couple of days.,1-Septic,
We have decided to conduct papers where students strength is less.,0-Pure,
"Therefore, some subjects in BA such as statistics are scheduled from October 1.",0-Pure,
"The idea is if any technical snag takes place, fewer students will be affected.",1-Septic,
"We would also come to know the kind of problems we would be facing, Board of Examinations and Evaluation (BOEE) director Prafulla Sable told TOI.",0-Pure,
"Since this will be the first time both examining body and examinees are undergoing online multiple choice questions (MCQ) paper in NU for regular courses, the administration is treading cautiously.",0-Pure,
"We have kept papers of subjects where over 5,000 students would appear, in later phase from October 5, so we are in a better position to tackle problems, the director said.",0-Pure,
"On Wednesday, NU conducted the demonstration of its software for teachers who will set the question paper and also for moderators, who will check those.",1-Septic,
"The software is developed by Promarc, which is already working with NU for its examination and results.",1-Septic,
It was attended by vice-chancellor Subhash Chaudhari and chairmen of various Boards of Studies (BOS).,1-Septic,
"On Thursday, NU has scheduled online meetings for all its BOS and moderation committee members for familiarising them with software.",0-Pure,
Promarc representatives would give demonstrations.,1-Septic,
The participants would be trained on how to upload their questions directly into software and give options for answers.,0-Pure,
"Moreover, they will also be taught on how to upload questions on mathematics equations, accounts and other subjects.",0-Pure,
"They can log in only through their verified mobile numbers and OTP, Sable said, adding that entire data would be in encrypted form and nobody can read it.",0-Pure,
"On Friday and Saturday, NU has organized meetings with the principals of colleges in Bhandara, Gondia, and Wardha, besides Nagpur city and rural areas, for training them in online MCQ exams.",1-Septic,
"Promarc has been entrusted with the task of developing students app for exams, which will be launched by next week.",1-Septic,
The state governments decision to change the colour of school uniform has sparked a political debate.,0-Pure,
The move is likely to put financial burden on parents of 77 lakh students as they have to buy new uniform.,0-Pure,
"In a review meeting on Tuesday, education minister Govind Singh Dotasra decided that colour of school uniform will be changed soon.",1-Septic,
Officials have been asked to take necessary steps in this direction.,1-Septic,
The education department seems to have got its priorities wrong.,1-Septic,
"At a time when government school students are worried about missing classes because of lack of infrastructure for online education, even a discussion on the colour of uniforms is untimely and inappropriate.",0-Pure,
"The government must rather focus on strengthening infrastructure, enhancing the quality of education and improving the literacy rate of girls, which is the worst-ever in the country as per the recent NSO report.Meanwhile, former education minister Vasudev Devnani alleged that the Congress government is politicizing education.",0-Pure,
"Last time, uniform was changed in 2017 during the time of Vasundhara Rajes BJP government.",0-Pure,
"It was done after 40 years in the state, but the Khaki colour of the uniform raised objections from opposition for implementing RSS pattern in education.",0-Pure,
This move by Congress government is seen as reversing that effect.,1-Septic,
"Devnani said, Just to please their high command, ministers in Congress party in Rajasthan are taking political decisions amidst pandemic.",1-Septic,
"When the uniforms colour was changed only three years back, what is the point of changing it again.",0-Pure,
"During our time we had invited suggestions from teachers, students and parents for changing the colour.",1-Septic,
"It was a rational decision, but this move by the state government is a political one.",1-Septic,
Parents have to purchase their wards uniform at the time when most of the parents are already suffering from economic losses in pandemic.,0-Pure,
"School education expert K B Kothari said that politicizing the education is different but if the government wants to change the uniforms, they must do to rationally and scientific approach.",0-Pure,
A committee should be formed for deciding the uniforms looking at the climatic condition of the state.,0-Pure,
"Opinions of parents and teachers must also be taken into consideration, said Kotahri.",0-Pure,
"Vipin Sharma, vice-president, Rajasthan Primary and Secondary Teachers Union said that government must provide the uniforms to students.",0-Pure,
"Sometime, we arrange for philanthropists to donate uniforms but that is given only to 40% students and other have to purchase.",1-Septic,
"If government provides for uniforms then it will be helpful for the parents, said Sharma.",0-Pure,
"Last year, Congress government changed the colours of the bicycle distributed amongst students from orange to black.",0-Pure,
Cycles were distributed in orange colour by BJP government which was changed.,0-Pure,
"Rajasthan has third highest rate of unemployment in the country after Haryana and Tripura in August, according to CMIE data.",0-Pure,
"While Haryana topped the states with 33.5% followed by Tripura at 27.5%, Rajasthans rate continued to remain high at 17.5% compared to 17.7% in April when all economic activities ground to a halt.",1-Septic,
"But even before the lockdown was imposed, the states joblessness rate remained at elevated rates indicating that the all was not well in the states economy.",1-Septic,
"But analysing the data in the past couple of months, experts in the field pointed that one of the reasons for the high joblessness in the impact on the pandemic on tourism and hospitality sector.",1-Septic,
"Rajasthan, Goa, Himachal Pradesh and Uttarakhand which have high unemployment rates are all dependent on tourism and hospitality.",0-Pure,
"Unless the tourism sector recovers, large-scale job creation will not take place, said N K Jain, president of Employers Association of Rajasthan.",0-Pure,
The fact that tourism contributes 23% to the states GDP pretty much explains how the state is overly dependent on the sector and why it is necessary for the state diversify its economy and de-risk it.,1-Septic,
"However, industry feels that economic activity in the state went into a slump couple of years ago and the revival has remained elusive since then.",1-Septic,
They attribute to partly to the general slowdown in the country which was aggravated by the states own problems.,0-Pure,
"After tourism, real estate has a big impact on job creation and the sectors underperformance contributed to the joblessness in a major way.",0-Pure,
